year,source,p_comp,computed_p,raw,one_tailed_in_txt,sentence,comment
2000,2000-75-SLH-rice-et-al-2000-the-use-of-syntactic-cues-in-lexical-acquisition-by-children-with-sli.pdf,<,0.0572631019494365,"t(29) = -1.98, p < .05",TRUE,copy paste sentence,add comments
2000,2000-20-LSP-wilson-kunkel-2000-identity-implications-of-influence-goals-similarities-in-perceived-face-threats-and-facework-across.pdf,<,0.0565474882069309,"F(2, 223) = 2.91, p < .05",FALSE,copy paste sentence,add comments
2000,2000-06-SLH-boudreau-chapman-2000-the-relationship-between-event-representation-and-linguistic-skill-in-narratives-of-children-and.pdf,>,0.0151581994536679,"F(1,50) = 6.326, p > .05",FALSE,copy paste sentence,add comments
2000,2000-15-LaS-schafer-et-al-2000-focus-and-the-interpretation-of-pitch-accent-disambiguating-embedded-questions.pdf,<,0.999999999999998,"1 (47) = 5.08, p<.001",FALSE,copy paste sentence,add comments
2000,2000-05-APS-S014271640000106Xa.pdf,<,0.0530635768815318,"F(1, 66) = 3.88, p < .05",FALSE,copy paste sentence,add comments
2000,2000-07-SLA-S0272263100002047a.pdf,<,0.11322741884894,"t(17) = -1.67, p < .005",FALSE,copy paste sentence,add comments
2000,2000-02-BLC-S1366728900000146a.pdf,<,0.0826339361526949,"t(33)=1.79,p<.05",TRUE,copy paste sentence,add comments
2000,2000-88-SLH-smith-kleinow-2000-kinematic-correlates-of-speaking-rate-changes-in-stuttering-and-normally-fluent-adults.pdf,<,0.0534674329651263,"F(2,52) = 3.1, p < .05",FALSE,copy paste sentence,add comments
2000,2000-22-SLH-feeney-hallowell-2000-practice-and-list-effects-on-the-synthetic-sentence-identification-test-in-young-and-elderly.pdf,<,0.124759597205235,"F(1, 7) = 3.04, p < .01",FALSE,copy paste sentence,add comments
2001,2001-00-LaS-bortfeld-et-al-2001-disfluency-rates-in-conversation-effects-of-age-relationship-topic-role-and-gender.pdf,<,0.0558173272969532,"t (82)= 1.94, p < .05",FALSE,copy paste sentence,add comments
2001,2001-14-LaS-weber-2001-help-or-hindrance-how-violation-of-different-assimilation-rules-affects-spoken-language-processing.pdf,<,0.051894837500714,"t (13)= 2.14, p < .05",FALSE,copy paste sentence,add comments
2001,2001-19-APS-S0142716401003083a.pdf,<,0.51347378790195,"r(67) = .08, p < .05",TRUE,copy paste sentence,add comments
2001,2001-25-SLH-ezrati-vinacour-levin-2001-time-estimation-by-adults-who-stutter.pdf,<,0.0546100698469702,"F(1, 92) = 3.79, p < .05",FALSE,copy paste sentence,add comments
2001,2001-04-JML-Assimilation-and-Anticipation-in-Continuous-Spoke_2001_Journal-of-Memory-and.pdf,<,0.0556524273280377,"t(27) = 2.0, p < .05",FALSE,copy paste sentence,add comments
2001,2001-07-LSP-kalbfleisch-2001-deceptive-message-intent-and-relational-quality.pdf,<,0.188478276069477,"F(3, 502) = 1.6,p < .05",FALSE,copy paste sentence,add comments
2001,2001-05-APS-S0142716401001060a.pdf,<,0.0562674389362424,"F(1, 56) = 3.80, p < .05",FALSE,copy paste sentence,add comments
2001,2001-08-LSP-li-2001-cooperative-and-intrusive-interruptions-in-inter-and-intracultural-dyadic-discourse.pdf,<,0.0611288743526015,"t(78) = -1.90, p < .05",FALSE,copy paste sentence,add comments
2001,2001-37-JML-Recognition-of-Facial-Prototypes--The-Importance-of-Ca_2001_Journal-of-Memor.pdf,<,0.0982630521071831,"t(34) = 1.70, p < .05",TRUE,copy paste sentence,add comments
2002,2002-18-LSP-ter-doest-et-al-2002-linguistic-context-and-social-perception-does-stimulus-abstraction-moderate-processing-style.pdf,<,0.0784078065749653,"Z = 1.76, p < .05",FALSE,copy paste sentence,add comments
2002,2002-86-SLH-van-lieshout-et-al-2002-the-dynamics-of-interlip-coupling-in-speakers-with-a-repaired-unilateral-cleft-lip-history.pdf,<,0.0806668653477383,"F(1, 11) = 3.70, p < .05",TRUE,copy paste sentence,add comments
2002,2002-50-SLH-mcgregor-et-al-2002-semantic-representation-and-naming-in-children-with-specific-language-impairment.pdf,<,0.0982630521071831,"t (34) = 1.7,p < .001",FALSE,copy paste sentence,add comments
2002,2002-25-APS-S014271640200406Xa.pdf,<,0.0645618029126711,"t(50) = 1.89, p < .05",FALSE,copy paste sentence,add comments
2002,2002-20-SLH-dubno-et-al-2002-spectral-contributions-to-the-benefit-from-spatial-separation-of-speech-and-noise.pdf,<,0.0615795351337985,"F(1, 21) = 3.9, p < .05",TRUE,copy paste sentence,add comments
2002,2002-19-LSP-watson-gallois-2002-patients-interactions-with-health-providers-a-linguistic-category-model-approach.pdf,<,0.0512525828573693,"2(1) = 3.80, p < .05",FALSE,copy paste sentence,add comments
2002,2002-00-APS-S0142716402000012a.pdf,<,0.0533117099570011,"F(1,52) = 3.91, p < .05",FALSE,copy paste sentence,add comments
2002,2002-14-LSP-parton-et-al-2002-employment-interview-outcomes-and-speech-style-effects.pdf,<,0.0534492288160644,"F(1,294) = 3.76, p < .05",FALSE,copy paste sentence,add comments
2002,2002-70-SLH-robb-smith-2002-fundamental-frequency-onset-and-offset-behavior.pdf,<,0.051998697814229,"F(2, 18) = 3.50, p < .007",TRUE,copy paste sentence,add comments
2003,2003-01-BLC-S1366728903001019a.pdf,<,0.835792197414368,"t(20) = 0.21, p < .05",FALSE,copy paste sentence,add comments
2003,2003-26-APS-S0142716403000304a.pdf,<,0.131913268877812,"F (1, 3) = 4.23, p < .05",FALSE,copy paste sentence,add comments
2003,2003-14-SLA-S0272263103000214a.pdf,<,1,"L2(71) =3.760, p < .001",FALSE,copy paste sentence,add comments
2003,2003-34-SLH-griffiths-et-al-2003-auditory-temporal-order-discrimination-and-backward-recognition-masking-in-adults-with-dyslexia.pdf,<,0.115139307413355,"F(1, 38) = 2.6, p <.001",FALSE,copy paste sentence,add comments
2003,2003-15-SLH-choudhury-benasich-2003-a-family-aggregation-study.pdf,<,0.0550688501207921,"2(1) = 3.68, p < .05",FALSE,copy paste sentence,add comments
2003,2003-24-APS-S0142716403000286a.pdf,<,0.0578554954830982,"F (1, 31) = 3.88, p < .05",FALSE,copy paste sentence,add comments
2003,2003-19-APS-S0142716403000225a.pdf,<,0.0917796777565967,"t (31) = 1.74, p < .05",FALSE,copy paste sentence,add comments
2003,2003-21-APS-S0142716403000250a.pdf,<,0.0814240014746524,"F (4, 245) = 2.10, p < .05",FALSE,copy paste sentence,add comments
2003,2003-65-SLH-melnick-et-al-2003-phonological-priming-in-picture-naming-of-young-children-who-stutter.pdf,<,0.229715830676377,"t(1) = -2.65, p < .05",FALSE,copy paste sentence,add comments
2004,2004-05-JML-Automatic-and-controlled-processing-in-sentence-recall_2004_Journal-of-Memor.pdf,<,0.0509792221278985,"F(1, 23) = 4.24, p < .05",FALSE,copy paste sentence,add comments
2004,2004-22-LSP-o-sullivan-et-al-2004-mediated-immediacy-a-language-of-affiliation-in-a-technological-age.pdf,<,0.0646874759367698,"t(163) = 1.86, p < .05",FALSE,copy paste sentence,add comments
