source,test_type,df1,df2,test_comp,test_value,p_comp,reported_p,computed_p,raw,error,decision_error,one_tailed_in_txt,apa_factor,sourceFile,year,journal
2000-22-SLH-feeney-hallowell-2000-practice-and-list-effects-on-the-synthetic-sentence-identification-test-in-young-and-elderly.pdf,F,1,7,=,4.7,<,0.001,0.0668191370109388,"F(1, 7) = 4.7, p < .001",TRUE,TRUE,FALSE,0.43,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2000-22-SLH-feeney-hallowell-2000-practice-and-list-effects-on-the-synthetic-sentence-identification-test-in-young-and-elderly.pdf,2000,SLH
2000-05-APS-S014271640000106Xa.pdf,F,1,66,=,3.88,<,0.05,0.0530635768815318,"F(1, 66) = 3.88, p < .05",TRUE,TRUE,FALSE,0.86,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/APS/2000-05-APS-S014271640000106Xa.pdf,2000,APS
2000-88-SLH-smith-kleinow-2000-kinematic-correlates-of-speaking-rate-changes-in-stuttering-and-normally-fluent-adults.pdf,F,2,52,=,3.1,<,0.05,0.0534674329651263,"F(2,52) = 3.1, p < .05",TRUE,TRUE,FALSE,0.8,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2000-88-SLH-smith-kleinow-2000-kinematic-correlates-of-speaking-rate-changes-in-stuttering-and-normally-fluent-adults.pdf,2000,SLH
2000-06-SLH-boudreau-chapman-2000-the-relationship-between-event-representation-and-linguistic-skill-in-narratives-of-children-and.pdf,F,2,55,=,0.76,=,0.001,0.472514074090969,"F(2,55) = .760, p = .001",TRUE,TRUE,FALSE,0.7,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLH/2000-06-SLH-boudreau-chapman-2000-the-relationship-between-event-representation-and-linguistic-skill-in-narratives-of-children-and.pdf,2000,SLH
2000-20-LSP-wilson-kunkel-2000-identity-implications-of-influence-goals-similarities-in-perceived-face-threats-and-facework-across.pdf,F,2,223,=,2.91,<,0.05,0.0565474882069309,"F(2, 223) = 2.91, p < .05",TRUE,TRUE,FALSE,0.9,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LSP/2000-20-LSP-wilson-kunkel-2000-identity-implications-of-influence-goals-similarities-in-perceived-face-threats-and-facework-across.pdf,2000,LSP
2000-02-BLC-S1366728900000146a.pdf,t,NA,33,=,1.79,<,0.05,0.0826339361526949,"t(33)=1.79,p<.05",TRUE,TRUE,TRUE,0.04,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/BLC/2000-02-BLC-S1366728900000146a.pdf,2000,BLC
2000-29-JPR-A_1005196020814.pdf,Chi2,6,NA,=,10.75,<,0.007,0.0964171751942664,"2(6) = 10.75, p < .007",TRUE,TRUE,FALSE,0.74,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/JPR/2000-29-JPR-A_1005196020814.pdf,2000,JPR
2000-07-SLA-S0272263100002047a.pdf,t,NA,17,=,-1.67,<,0.005,0.11322741884894,"t(17) = -1.67, p < .005",TRUE,TRUE,FALSE,0.81,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/SLA/2000-07-SLA-S0272263100002047a.pdf,2000,SLA
2000-15-LaS-schafer-et-al-2000-focus-and-the-interpretation-of-pitch-accent-disambiguating-embedded-questions.pdf,Chi2,47,NA,=,5.08,<,0.001,0.999999999999998,"1 (47) = 5.08, p<.001",TRUE,TRUE,FALSE,0.72,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LaS/2000-15-LaS-schafer-et-al-2000-focus-and-the-interpretation-of-pitch-accent-disambiguating-embedded-questions.pdf,2000,LaS
2001-07-LSP-kalbfleisch-2001-deceptive-message-intent-and-relational-quality.pdf,F,3,502,=,1.6,<,0.05,0.188478276069477,"F(3, 502) = 1.6,p < .05",TRUE,TRUE,FALSE,0.93,C:/Users/darae/Documents/UiO/ILN2200/statcheck-linguistics/Journals/LSP/2001-07-LSP-kalbfleisch-2001-deceptive-message-intent-and-relational-quality.pdf,2001,LSP
