source,p_comp,computed_p,raw,one_tailed_in_txt,sentence,reported_as,comment,rated
2000-05-APS-S014271640000106Xa.pdf,<,0.0530635768815318,"F(1, 66) = 3.88, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2000-15-LaS-schafer-et-al-2000-focus-and-the-interpretation-of-pitch-accent-disambiguating-embedded-questions.pdf,<,0.999999999999998,"1 (47) = 5.08, p<.001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2000-22-SLH-feeney-hallowell-2000-practice-and-list-effects-on-the-synthetic-sentence-identification-test-in-young-and-elderly.pdf,<,0.0668191370109388,"F(1, 7) = 4.7, p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2000-06-SLH-boudreau-chapman-2000-the-relationship-between-event-representation-and-linguistic-skill-in-narratives-of-children-and.pdf,>,0.0151581994536679,"F(1,50) = 6.326, p > .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2000-07-SLA-S0272263100002047a.pdf,<,0.11322741884894,"t(17) = -1.67, p < .005",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2000-88-SLH-smith-kleinow-2000-kinematic-correlates-of-speaking-rate-changes-in-stuttering-and-normally-fluent-adults.pdf,<,0.0534674329651263,"F(2,52) = 3.1, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2000-20-LSP-wilson-kunkel-2000-identity-implications-of-influence-goals-similarities-in-perceived-face-threats-and-facework-across.pdf,<,0.0565474882069309,"F(2, 223) = 2.91, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2001-04-JML-Assimilation-and-Anticipation-in-Continuous-Spoke_2001_Journal-of-Memory-and.pdf,<,0.0556524273280377,"t(27) = 2.0, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2001-14-LaS-weber-2001-help-or-hindrance-how-violation-of-different-assimilation-rules-affects-spoken-language-processing.pdf,<,0.051894837500714,"t (13)= 2.14, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2001-08-LSP-li-2001-cooperative-and-intrusive-interruptions-in-inter-and-intracultural-dyadic-discourse.pdf,<,0.0611288743526015,"t(78) = -1.90, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2001-19-APS-S0142716401003083a.pdf,<,0.51347378790195,"r(67) = .08, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2001-01-JPR-A_1005208308278.pdf,<,0.0561191363723658,"F(1,46) = 3.84, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2001-05-APS-S0142716401001060a.pdf,<,0.0580454987407222,"F(1, 35) = 3.84, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2001-03-APS-S0142716401001047a.pdf,<,0.0526967873658887,"t(9) = 2.23, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2002-50-SLH-mcgregor-et-al-2002-semantic-representation-and-naming-in-children-with-specific-language-impairment.pdf,<,0.0982630521071831,"t (34) = 1.7,p < .001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2002-01-APS-S0142716402000024a.pdf,<,0.229867877915051,"F(1,19) = 1.539, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2002-20-SLH-dubno-et-al-2002-spectral-contributions-to-the-benefit-from-spatial-separation-of-speech-and-noise.pdf,<,0.0615795351337985,"F(1, 21) = 3.9, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2002-70-SLH-robb-smith-2002-fundamental-frequency-onset-and-offset-behavior.pdf,<,0.131648577794231,"F(9, 10) = 2.10, p < .007",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2002-18-LSP-ter-doest-et-al-2002-linguistic-context-and-social-perception-does-stimulus-abstraction-moderate-processing-style.pdf,<,0.0784078065749653,"Z = 1.76, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2002-19-LSP-watson-gallois-2002-patients-interactions-with-health-providers-a-linguistic-category-model-approach.pdf,<,0.0512525828573693,"2(1) = 3.80, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2002-86-SLH-van-lieshout-et-al-2002-the-dynamics-of-interlip-coupling-in-speakers-with-a-repaired-unilateral-cleft-lip-history.pdf,<,0.0806668653477383,"F(1, 11) = 3.70, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2003-15-SLH-choudhury-benasich-2003-a-family-aggregation-study.pdf,<,0.0550688501207921,"2(1) = 3.68, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2003-12-LaS-swingley-2003-phonetic-detail-in-the-developing-lexicon.pdf,<,0.0656969130837687,"t (35) = 1.9, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2003-50-BAL-Speech-coordination-in-individuals-with-aphasia-and-norm_2003_Brain-and-Lang.pdf,<,0.0960011602944735,"F(1,1) = 43.31, p < .0003",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2003-19-APS-S0142716403000225a.pdf,<,0.0917796777565967,"t (31) = 1.74, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2003-50-SLH-laws-bishop-2003-a-comparison-of-language-abilities-in-adolescents-with-down-syndrome-and-children-with-specific.pdf,<,0.0516811446155459,"F(2, 22) = 3.40, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2003-48-SLH-kiran-thompson-2003-the-role-of-semantic-complexity-in-treatment-of-naming-deficits.pdf,<,0.0577795711235975,"2(1, N = 49) = 3.6, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2003-65-SLH-melnick-et-al-2003-phonological-priming-in-picture-naming-of-young-children-who-stutter.pdf,<,0.229715830676377,"t(1) = -2.65, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2004-08-BLC-S1366728904001592a.pdf,>,2.1559946695477e-4,"[z = 3.7,p > .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2004-12-LaS-verhoeven-et-al-2004-speech-rate-in-a-pluricentric-language-a-comparison-between-dutch-in-belgium-and-the-netherlands.pdf,<,0.141230441909039,"F (1, 1) = 19.6557, p < .0001",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2004-22-LSP-o-sullivan-et-al-2004-mediated-immediacy-a-language-of-affiliation-in-a-technological-age.pdf,<,0.0721044951286993,"t(166) = 1.81, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2004-09-JCL-S0305000903005968a.pdf,<,0.0600941648196637,"F(1,11)=4.39, p<0.05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2004-29-JML-Phonological-phrase-boundaries-constrain-lexical-a_2004_Journal-of-Memory-an.pdf,<,0.0804854797683424,"t(35) = 1.8,p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2004-05-JML-Automatic-and-controlled-processing-in-sentence-recall_2004_Journal-of-Memor.pdf,<,0.0509792221278985,"F(1, 23) = 4.24, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2005-50-JML-Phonology-impacts-segmentation-in-online-speech_2005_Journal-of-Memory-and-L.pdf,<,0.108524469654492,"t (26) = 1.662, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2005-51-SLH-marler-champlin-2005-sensory-processing-of-backward-masking-signals-in-children-with-language-learning-impairment-as.pdf,<,0.0717412737697445,"F(1, 18) = 3.661, p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2005-12-APS-S0142716405050150a.pdf,<,0.0617567563487295,"F (4, 216) = 2.28, p < .01",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2005-59-SLH-munson-et-al-2005-lexical-and-phonological-organization-in-children.pdf,<,0.28233623728607,"F(1, 29) = 1.2,p < .05",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2005-87-BAL-Understanding-text-after-severe-closed-head-injury--Assessing-_2005_Brain-an.pdf,<,0.984276240712129,"t (17) = .02,p < .01",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2005-11-JML-Changing-places--A-cross-language-perspective-on-frequ_2005_Journal-of-Memor.pdf,<,0.128510975637872,"(Z = 1.52, p < .05",TRUE,copy paste sentence,significant/not significant/unclear,add comments,TR
2005-16-BAL-Effects-of-dialect-on-merger-perception--ERP-and-behavio_2005_Brain-and-Lang.pdf,<,0.0876263413746555,"F(8,80) = 1.808, p < .01",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
2006-32-JCL-S0305000906007586a.pdf,<,0.0605295895428027,"F(1, 76)=3.63, p<0.02",FALSE,copy paste sentence,significant/not significant/unclear,add comments,TR
